<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001FAD2EBBCA0>
[-41.96713257 -41.70816803 -42.54980087]
[-44.03884506 -44.75099564 -44.2978096 ]
[-40.99601746 -41.77291107 -41.70816803]
[-40.60757065 -41.06075668 -40.99601746]
[-42.48506165 -41.64342499 -41.44920349]
[-43.39143372 -42.54980087 -42.29083633]
[-42.22609711 -41.96713257 -42.54980087]
[-41.44920349 -41.64342499 -43.32669067]
[-42.0318718  -43.77988052 -43.58565521]
[-42.74402618 -45.13944244 -45.20418549]
[-39.18326569 -40.60757065 -39.63645172]
[-40.80179214 -40.93127441 -40.60757065]
[-41.8376503  -41.64342499 -41.12549591]
[-41.64342499 -41.57868576 -40.47808838]
[-40.60757065 -40.41334534 -39.70119476]
[-42.35557556 -42.4203186  -42.80876541]
[-42.54980087 -43.19721222 -42.80876541]
[-40.86653137 -41.96713257 -41.31972122]
[-42.48506165 -42.16135406 -42.35557556]
[-42.4203186  -42.09661102 -41.8376503 ]
[-43.26195145 -42.16135406 -42.80876541]
[-41.51394653 -41.90238953 -43.13246918]
[-42.87350464 -44.36254883 -44.81573486]
[-43.00299072 -44.88047791 -45.0746994 ]
[-40.41334534 -42.09661102 -41.19023895]
[-40.02490234 -39.76593781 -39.57171249]
[-42.35557556 -42.29083633 -42.6145401 ]
[-43.45617676 -43.06772995 -42.29083633]
[-42.6145401  -41.96713257 -41.12549591]
[-42.16135406 -42.48506165 -43.13246918]
[-42.35557556 -42.87350464 -42.48506165]
[-42.16135406 -43.13246918 -43.00299072]
[-41.57868576 -40.93127441 -41.38446045]
[-41.70816803 -41.12549591 -41.44920349]
[-42.74402618 -41.8376503  -41.90238953]
[-41.31972122 -40.1543808  -40.86653137]
[-40.80179214 -40.73705292 -42.22609711]
[-41.19023895 -42.35557556 -42.4203186 ]
[-43.19721222 -45.59262848 -45.72211075]
[-39.89541626 -41.64342499 -40.67230988]
[-40.41334534 -39.83067703 -40.47808838]
