tm1,tm2,steps
24,25,48416
12,12,48440
10,11,48461
17,17,48495
11,14,48520
5,7,48532
34,26,48592
9,11,48612
7,9,48628
14,17,48659
14,18,48691
11,11,48713
28,28,48769
27,26,48822
29,29,48880
18,19,48917
15,17,48949
9,9,48967
20,13,49000
38,30,49068
19,18,49105
39,40,49184
30,35,49249
12,13,49274
52,44,49370
25,26,49421
50,51,49522
14,14,49550
55,45,49650
44,33,49727
65,64,49856
22,14,49892
18,18,49928
12,10,49950
32,24,50006
15,11,50032
14,9,50055
28,27,50110
12,3,50125
11,11,50147
65,66,50278
17,18,50313
14,17,50344
17,8,50369
18,20,50407
20,21,50448
47,48,50543
41,43,50627
100,96,50823
35,37,50895
41,48,50984
11,5,51000
17,17,51034
12,12,51058
28,27,51113
26,27,51166
18,19,51203
43,43,51289
22,22,51333
28,27,51388
8,8,51404
13,13,51430
17,17,51464
41,42,51547
31,30,51608
35,35,51678
45,47,51770
10,12,51792
21,23,51836
13,15,51864
13,3,51880
10,13,51903
23,22,51948
9,15,51972
19,19,52010
24,24,52058
16,16,52090
7,8,52105
20,20,52145
73,80,52298
61,61,52420
21,23,52464
30,34,52528
30,31,52589
38,41,52668
21,21,52710
105,102,52917
21,22,52960
44,43,53047
42,42,53131
19,19,53169
53,44,53266
11,14,53291
37,37,53365
36,36,53437
76,69,53582
46,46,53674
148,149,53971
26,27,54024
9,10,54043
71,69,54183
26,28,54237
9,8,54254
87,87,54428
9,3,54440
14,12,54466
22,23,54511
16,15,54542
12,9,54563
8,6,54577
17,15,54609
8,5,54622
9,2,54633
8,11,54652
10,3,54665
52,54,54771
14,13,54798
19,19,54836
19,20,54875
11,3,54889
8,9,54906
13,5,54924
25,17,54966
43,36,55045
9,11,55065
20,20,55105
43,35,55183
11,2,55196
16,17,55229
12,12,55253
17,11,55281
4,13,55298
16,20,55334
5,13,55352
20,13,55385
22,29,55436
5,13,55454
17,24,55495
11,11,55517
39,32,55588
12,13,55613
15,17,55645
35,36,55716
16,17,55749
45,45,55839
25,25,55889
63,47,55999
48,50,56097
14,13,56124
39,41,56204
40,39,56283
79,81,56443
46,47,56536
110,101,56747
67,70,56884
76,63,57023
25,24,57072
11,11,57094
23,22,57139
11,13,57163
29,28,57220
18,18,57256
12,13,57281
127,121,57529
34,32,57595
47,48,57690
28,29,57747
18,17,57782
33,33,57848
13,11,57872
11,10,57893
7,9,57909
26,27,57962
56,55,58073
11,10,58094
33,32,58159
21,21,58201
13,15,58229
9,9,58247
8,8,58263
13,13,58289
18,18,58325
20,23,58368
9,10,58387
21,21,58429
22,14,58465
19,19,58503
19,17,58539
18,17,58574
8,11,58593
38,31,58662
10,9,58681
8,7,58696
27,28,58751
18,15,58784
46,38,58868
69,68,59005
28,21,59054
14,8,59076
15,14,59105
17,17,59139
21,23,59183
38,29,59250
16,11,59277
53,51,59381
30,36,59447
36,37,59520
27,32,59579
20,20,59619
16,16,59651
45,45,59741
62,54,59857
41,42,59940
54,59,60053
12,12,60077
45,47,60169
22,23,60214
19,20,60253
37,38,60328
6,8,60342
79,79,60500
31,29,60560
33,32,60625
13,15,60653
5,10,60668
25,23,60716
93,93,60902
23,24,60949
28,26,61003
12,13,61028
24,24,61076
69,74,61219
43,44,61306
11,10,61327
101,100,61528
35,38,61601
32,33,61666
17,17,61700
56,55,61811
10,12,61833
12,17,61862
15,15,61892
11,12,61915
15,11,61941
14,15,61970
17,18,62005
26,25,62056
28,27,62111
14,13,62138
10,12,62160
41,41,62242
84,88,62414
53,53,62520
35,36,62591
119,123,62833
117,115,63065
13,13,63091
24,26,63141
70,62,63273
34,34,63341
44,42,63427
10,7,63444
20,20,63484
16,17,63517
64,64,63645
16,18,63679
35,27,63741
19,19,63779
14,16,63809
31,29,63869
21,22,63912
8,10,63930
25,15,63970
33,27,64030
25,32,64087
22,15,64124
11,10,64145
13,10,64168
54,45,64267
8,10,64285
15,13,64313
57,58,64428
18,17,64463
30,29,64522
11,12,64545
17,17,64579
16,16,64611
16,15,64642
9,8,64659
13,13,64685
19,18,64722
163,173,65058
22,22,65102
16,17,65135
29,30,65194
80,79,65353
24,24,65401
56,55,65512
33,34,65579
55,55,65689
17,19,65725
35,35,65795
48,47,65890
50,52,65992
11,11,66014
9,7,66030
11,10,66051
24,27,66102
22,24,66148
39,39,66226
31,32,66289
64,64,66417
11,11,66439
13,13,66465
54,56,66575
117,117,66809
9,11,66829
55,55,66939
109,101,67149
16,17,67182
45,33,67260
30,32,67322
22,23,67367
18,11,67396
17,15,67428
58,57,67543
66,69,67678
72,78,67828
33,32,67893
53,55,68001
36,36,68073
76,76,68225
145,147,68517
31,32,68580
23,24,68627
48,47,68722
97,84,68903
62,62,69027
39,39,69105
31,30,69166
14,15,69195
82,82,69359
17,18,69394
28,26,69448
61,60,69569
52,41,69662
27,26,69715
22,19,69756
43,43,69842
26,25,69893
198,196,70287
20,21,70328
35,33,70396
46,46,70488
110,99,70697
17,18,70732
7,9,70748
12,13,70773
69,63,70905
11,12,70928
26,20,70974
69,59,71102
21,20,71143
25,24,71192
42,32,71266
34,36,71336
40,32,71408
46,37,71491
16,14,71521
11,13,71545
41,41,71627
99,93,71819
10,11,71840
83,86,72009
115,116,72240
24,24,72288
52,52,72392
34,34,72460
28,28,72516
28,30,72574
70,70,72714
15,15,72744
93,94,72931
52,53,73036
98,83,73217
34,36,73287
52,52,73391
24,12,73427
32,30,73489
55,59,73603
56,45,73704
15,14,73733
17,17,73767
39,31,73837
16,15,73868
20,12,73900
12,6,73918
9,1,73928
17,8,73953
23,21,73997
13,4,74014
53,43,74110
17,19,74146
24,14,74184
50,42,74276
21,20,74317
76,76,74469
47,40,74556
59,58,74673
26,22,74721
56,54,74831
31,31,74893
50,47,74990
12,11,75013
49,46,75108
86,77,75271
59,58,75388
68,58,75514
8,10,75532
39,40,75611
44,46,75701
13,16,75730
18,17,75765
32,34,75831
31,26,75888
16,14,75918
19,20,75957
26,25,76008
25,25,76058
58,54,76170
13,12,76195
62,60,76317
104,100,76521
43,41,76605
15,17,76637
61,57,76755
25,24,76804
63,56,76923
35,25,76983
55,47,77085
35,25,77145
50,40,77235
44,36,77315
19,19,77353
86,84,77523
59,48,77630
17,24,77671
88,89,77848
33,22,77903
15,10,77928
19,19,77966
40,29,78035
22,23,78080
64,54,78198
87,76,78361
54,54,78469
23,16,78508
14,10,78532
20,11,78563
62,54,78679
13,6,78698
74,62,78834
